ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
95;3;1;2123;3709;484;49;0;0;0;2;0;1;2022-04-30-2:12:51;1,65128E+15
96;7;4;2916;5096;1324;274;1116;49;0;1;0;1;2022-04-30-2:12:52;1,65128E+15
97;5;2;2930;5603;216;22;164;6;0;1;0;1;2022-04-30-2:12:53;1,65128E+15
98;4;2;2184;3863;12;3;0;0;0;4;0;3;2022-04-30-2:12:54;1,65128E+15
99;4;2;2268;3857;44;11;3600;138;0;3;0;3;2022-04-30-2:12:55;1,65128E+15
100;4;2;2205;4062;12;3;0;0;0;1;0;1;2022-04-30-2:12:56;1,65128E+15
101;2;1;2023;3581;24;6;0;0;0;2;0;1;2022-04-30-2:12:57;1,65128E+15
102;5;3;2388;4164;216;54;360;90;0;1;0;1;2022-04-30-2:12:58;1,65128E+15
103;4;1;2147;3749;32;8;0;0;1;5;1;5;2022-04-30-2:12:59;1,65128E+15
104;6;2;2628;5005;32;8;659;21;0;6;0;3;2022-04-30-2:13:0;16512847800
105;3;2;2083;3599;68;17;1429;54;0;3;0;1;2022-04-30-2:13:1;1,65128E+15
106;4;2;2312;4269;8;2;44;8;0;2;0;1;2022-04-30-2:13:2;1,65128E+15
107;6;3;3013;5714;52;12;1888;74;0;2;0;1;2022-04-30-2:13:3;1,65128E+15
108;2;1;2289;4044;8;2;0;0;0;1;0;1;2022-04-30-2:13:4;1,65128E+15
109;4;2;2032;3648;8;2;84;3;0;1;0;1;2022-04-30-2:13:5;1,65128E+15
110;2;1;2132;3746;8;2;0;0;0;2;0;1;2022-04-30-2:13:6;1,65128E+15
111;4;1;2171;3803;40;10;12;3;0;1;0;1;2022-04-30-2:13:7;1,65128E+15
112;4;2;2557;4536;56;7;937;58;0;1;0;1;2022-04-30-2:13:8;1,65128E+15
113;3;2;1974;3372;12;2;0;0;0;4;0;3;2022-04-30-2:13:9;1,65128E+15
114;7;3;2845;5215;80;19;529;22;0;1;0;1;2022-04-30-2:13:10;1,65128E+14
115;4;2;2450;3993;528;112;2028;69;0;1;0;1;2022-04-30-2:13:11;1,65128E+15
116;5;3;2502;4425;24;6;496;86;0;2;0;1;2022-04-30-2:13:12;1,65128E+15
117;5;3;3000;5763;32;8;148;6;0;1;0;1;2022-04-30-2:13:13;1,65128E+15
118;4;2;2323;4050;476;21;0;0;0;1;0;1;2022-04-30-2:13:14;1,65128E+15
119;3;1;2139;3692;4;1;88;3;0;2;0;1;2022-04-30-2:13:15;1,65128E+15
120;3;2;2168;3789;8;2;0;0;0;1;0;1;2022-04-30-2:13:16;1,65128E+15
121;4;2;2173;3730;20;5;24;6;0;1;0;1;2022-04-30-2:13:17;1,65128E+15
122;3;1;2405;4289;4;1;0;0;0;2;0;1;2022-04-30-2:13:18;1,65128E+15
123;2;1;1935;3262;0;0;0;0;0;4;0;3;2022-04-30-2:13:19;1,65128E+15
124;6;3;2908;5256;416;56;661;24;0;3;0;1;2022-04-30-2:13:20;1,65128E+14
125;7;2;2160;3646;264;54;0;0;0;4;0;1;2022-04-30-2:13:21;1,65128E+15
126;3;1;2216;4118;24;6;20;4;0;2;0;1;2022-04-30-2:13:22;1,65128E+15
127;5;2;2956;5685;12;3;380;56;0;1;0;1;2022-04-30-2:13:23;1,65128E+15
128;4;2;2201;4126;32;8;0;0;1;5;1;5;2022-04-30-2:13:24;1,65128E+15
129;3;1;2036;3751;0;0;92;3;0;1;0;1;2022-04-30-2:13:25;1,65128E+15
130;3;1;2045;3784;28;3;0;0;0;1;0;1;2022-04-30-2:13:26;1,65128E+15
131;6;3;2652;4617;3103;409;8;2;0;2;0;1;2022-04-30-2:13:27;1,65128E+15
132;4;2;2207;4143;16;1;0;0;0;1;0;1;2022-04-30-2:13:28;1,65128E+15
133;3;1;1910;3410;16;4;0;0;0;1;0;1;2022-04-30-2:13:29;1,65128E+15
134;7;2;2641;5181;100;21;536;19;0;2;0;1;2022-04-30-2:13:30;1,65128E+14
135;3;1;1960;3426;28;7;0;0;0;1;0;1;2022-04-30-2:13:31;1,65128E+15
136;3;2;2261;4214;0;0;344;63;0;1;0;1;2022-04-30-2:13:32;1,65128E+15
137;5;2;3003;5668;384;20;280;7;0;2;0;1;2022-04-30-2:13:33;1,65128E+15
138;3;2;2296;4055;12;3;0;0;0;3;0;3;2022-04-30-2:13:34;1,65128E+15
139;3;2;2120;3912;4;1;84;3;0;1;0;1;2022-04-30-2:13:35;1,65128E+15
140;4;1;2095;3827;28;7;0;0;0;2;0;1;2022-04-30-2:13:36;1,65128E+15
141;4;2;2096;3821;36;9;0;0;0;1;0;1;2022-04-30-2:13:37;1,65128E+15
142;4;2;2518;4447;248;54;0;0;0;1;0;1;2022-04-30-2:13:38;1,65128E+15
143;4;2;2021;3448;36;9;0;0;0;3;0;1;2022-04-30-2:13:39;1,65128E+15
144;14;6;3113;6955;20;5;1604;173;0;3;0;1;2022-04-30-2:13:40;1,65128E+14
145;16;10;2803;5331;40;6;5592;812;0;3;0;1;2022-04-30-2:13:41;1,65128E+15
146;4;2;2436;4217;32;4;32;5;0;3;0;1;2022-04-30-2:13:42;1,65128E+15
147;5;2;3123;5813;856;28;240;6;0;1;0;1;2022-04-30-2:13:43;1,65128E+15
148;3;1;2373;4052;80;18;36;5;0;3;0;3;2022-04-30-2:13:44;1,65128E+15
149;3;2;2081;3787;8;2;204;9;0;2;0;1;2022-04-30-2:13:45;1,65128E+15
150;3;1;2120;3917;12;3;0;0;0;1;0;1;2022-04-30-2:13:46;1,65128E+15
151;4;1;2207;3693;32;8;384;79;0;1;0;1;2022-04-30-2:13:47;1,65128E+15
152;4;2;2333;4135;4;1;0;0;0;2;0;1;2022-04-30-2:13:48;1,65128E+15
153;6;2;1949;3346;56;14;0;0;1;4;1;5;2022-04-30-2:13:49;1,65128E+15
154;4;2;2785;5191;36;5;360;12;0;1;0;1;2022-04-30-2:13:50;1,65128E+14
155;4;1;2099;3611;132;17;0;0;0;2;0;1;2022-04-30-2:13:51;1,65128E+15
156;4;2;2674;4705;344;79;1071;53;0;1;0;1;2022-04-30-2:13:52;1,65128E+15
157;4;2;2851;5305;12;3;0;0;0;1;0;1;2022-04-30-2:13:53;1,65128E+15
158;4;3;2465;4665;12;3;128;6;0;2;0;1;2022-04-30-2:13:54;1,65128E+15
159;5;3;2340;4064;4;1;3433;128;0;1;0;1;2022-04-30-2:13:55;1,65128E+15
160;3;1;2150;3879;8;2;0;0;0;1;1;3;2022-04-30-2:13:56;1,65128E+15
161;3;2;2115;3741;52;13;0;0;0;2;0;1;2022-04-30-2:13:57;1,65128E+15
162;4;2;2339;4218;16;4;0;0;0;1;0;1;2022-04-30-2:13:58;1,65128E+15
163;3;1;1951;3421;4;1;0;0;0;4;0;3;2022-04-30-2:13:59;1,65128E+15
164;4;2;2679;5058;116;18;232;10;0;5;0;1;2022-04-30-2:14:0;16512848400
165;4;2;2127;3714;56;7;1448;55;0;2;0;1;2022-04-30-2:14:1;1,65128E+15
166;3;1;2342;4080;120;24;0;0;0;2;0;1;2022-04-30-2:14:2;1,65128E+15
167;6;3;2867;4754;1540;222;1676;62;0;2;0;1;2022-04-30-2:14:3;1,65128E+15
168;6;4;3029;5640;4;1;132;6;0;1;0;2;2022-04-30-2:14:4;1,65128E+15
