Time;KBIn;PktIn;KBOut;PktOut
17:59:51;2;10;1;7
17:59:52;3;19;3;16
17:59:53;1;3;2;5
17:59:54;2;15;1;11
17:59:55;3;17;3;16
17:59:56;1;3;2;6
17:59:57;3;18;2;16
17:59:58;3;17;3;15
17:59:59;1;3;2;5
18:00:00;2;15;1;11
18:00:01;3;17;3;15
18:00:02;1;4;2;5
18:00:03;2;16;1;13
18:00:04;3;17;3;17
18:00:05;0;1;0;3
18:00:06;3;19;3;17
18:00:07;3;16;3;14
18:00:08;0;2;0;5
18:00:09;3;17;3;16
18:00:10;1;3;2;5
18:00:11;2;15;1;11
18:00:12;3;17;3;15
18:00:13;1;3;2;5
18:00:14;2;15;1;11
18:00:15;3;17;3;15
18:00:16;1;4;2;5
18:00:17;2;16;1;12
18:00:18;3;17;3;16
18:00:19;1;3;2;6
18:00:20;2;15;1;11
18:00:21;3;17;3;15
18:00:22;2;8;3;9
18:00:23;2;15;1;12
18:00:24;3;17;3;16
18:00:25;0;1;1;4
18:00:26;3;17;3;16
18:00:27;1;6;2;7
18:00:28;2;13;1;10
18:00:29;3;17;3;16
18:00:30;1;3;2;7
18:00:31;2;15;1;11
18:00:32;3;18;3;16
18:00:33;1;3;2;5
18:00:34;2;16;1;11
18:00:35;3;17;3;15
18:00:36;1;3;2;5
18:00:37;2;15;1;11
18:00:38;3;17;3;15
18:00:39;1;3;2;6
18:00:40;2;15;1;11
18:00:41;3;17;3;16
18:00:42;1;4;1;4
18:00:43;3;17;2;15
18:00:44;3;16;3;13
18:00:45;0;2;0;4
18:00:46;3;17;3;15
18:00:47;2;6;3;8
18:00:48;2;15;1;12
18:00:49;3;17;3;15
18:00:50;1;3;2;5
18:00:51;2;15;1;11
18:00:52;3;17;3;15
18:00:53;1;3;2;5
18:00:54;2;16;1;11
18:00:55;3;18;3;15
18:00:56;1;3;2;5
18:00:57;2;16;1;12
18:00:58;3;17;3;16
18:00:59;1;3;2;5
18:01:00;2;15;1;13
18:01:01;3;17;3;16
18:01:02;0;1;0;1
18:01:03;3;18;3;15
18:01:04;2;9;2;8
18:01:05;1;9;1;8
18:01:06;3;17;3;16
18:01:07;1;4;2;7
18:01:08;2;15;1;12
18:01:09;3;17;3;15
18:01:10;1;3;2;5
18:01:11;2;15;1;12
18:01:12;4;21;4;20
18:01:13;1;3;2;7
18:01:14;2;15;1;13
18:01:15;3;17;3;15
18:01:16;1;3;2;5
18:01:17;2;15;1;11
18:01:18;3;19;3;17
18:01:19;1;4;2;4
18:01:20;2;15;1;13
18:01:21;3;17;3;16
18:01:22;0;1;0;2
18:01:23;3;17;3;15
18:01:24;2;6;2;7
18:01:25;2;14;1;11
18:01:26;3;17;3;16
18:01:27;1;4;2;5
18:01:28;2;15;1;13
18:01:29;3;17;3;15
18:01:30;1;4;2;5
18:01:31;2;15;1;11
18:01:32;3;18;3;15
18:01:33;1;3;2;6
18:01:34;2;15;1;12
