interface,rx_bytes,tx_bytes,TX_rx_packets,tx_packets
ens38,85155567,124350447,488954,522616
ens38,85155567,124350447,488954,522616
ens38,85155567,124351299,488954,522617
ens38,85156617,124352148,488957,522620
ens38,85157765,124353043,488960,522624
ens38,85157765,124353043,488960,522624
ens38,85157765,124353043,488960,522624
ens38,85157765,124353043,488960,522624
ens38,85157765,124353043,488960,522624
ens38,85157765,124353043,488960,522624
ens38,85157765,124353043,488960,522624
ens38,85157765,124353043,488960,522624
ens38,85157765,124353043,488960,522624
ens38,85157765,124353043,488960,522624
ens38,85157885,124353175,488962,522626
ens38,85157885,124353175,488962,522626
ens38,85157885,124353175,488962,522626
ens38,85157885,124353175,488962,522626
ens38,85157885,124353175,488962,522626
ens38,85157885,124353175,488962,522626
ens38,85157885,124353175,488962,522626
ens38,85157885,124353175,488962,522626
ens38,85157885,124353175,488962,522626
ens38,85157885,124353175,488962,522626
ens38,85158005,124353307,488964,522628
ens38,85158005,124353307,488964,522628
ens38,85158005,124353307,488964,522628
ens38,85158005,124353307,488964,522628
ens38,85158005,124353307,488964,522628
ens38,85159153,124354203,488967,522632
ens38,85159153,124354203,488967,522632
ens38,85159153,124354203,488967,522632
ens38,85159153,124354203,488967,522632
ens38,85159153,124354203,488967,522632
ens38,85159153,124354203,488967,522632
ens38,85159153,124354203,488967,522632
ens38,85159153,124354203,488967,522632
ens38,85159153,124354203,488967,522632
ens38,85159153,124354203,488967,522632
ens38,85159273,124354335,488969,522634
ens38,85159273,124354335,488969,522634
ens38,85159273,124354335,488969,522634
ens38,85159273,124354335,488969,522634
ens38,85159273,124354335,488969,522634
ens38,85159273,124354335,488969,522634
ens38,85159273,124354335,488969,522634
ens38,85159273,124354335,488969,522634
ens38,85159273,124354335,488969,522634
ens38,85159273,124354335,488969,522634
ens38,85159393,124354467,488971,522636
ens38,85159393,124354467,488971,522636
ens38,85159393,124354467,488971,522636
ens38,85159393,124354467,488971,522636
ens38,85159393,124354467,488971,522636
ens38,85160541,124355363,488974,522640
ens38,85160541,124355363,488974,522640
ens38,85160541,124355363,488974,522640
ens38,85160541,124355363,488974,522640
ens38,85160541,124355363,488974,522640
ens38,85160541,124355363,488974,522640
ens38,85160541,124355363,488974,522640
ens38,85160541,124355363,488974,522640
ens38,85160541,124355363,488974,522640
ens38,85160541,124355363,488974,522640
ens38,85160661,124355495,488976,522642
ens38,85160661,124355495,488976,522642
ens38,85160661,124355495,488976,522642
ens38,85160661,124355495,488976,522642
ens38,85160661,124355495,488976,522642
ens38,85160661,124355495,488976,522642
ens38,85160661,124355495,488976,522642
ens38,85160661,124355495,488976,522642
ens38,85160661,124355495,488976,522642
ens38,85160661,124355495,488976,522642
ens38,85160781,124355627,488978,522644
ens38,85160781,124355627,488978,522644
ens38,85160781,124355627,488978,522644
ens38,85160781,124355627,488978,522644
ens38,85160781,124355627,488978,522644
