interface,rx_bytes,tx_bytes,TX_rx_packets,tx_packets
ens38,82542560,121763813,475043,506618
ens38,82542560,121763813,475043,506618
ens38,82542560,121763813,475043,506618
ens38,82542560,121763813,475043,506618
ens38,82542560,121763813,475043,506618
ens38,82542560,121763813,475043,506618
ens38,82542560,121763813,475043,506618
ens38,82542560,121763813,475043,506618
ens38,82542560,121763813,475043,506618
ens38,82542560,121763813,475043,506618
ens38,82542740,121764011,475046,506621
ens38,82542740,121764011,475046,506621
ens38,82542740,121764011,475046,506621
ens38,82542740,121764011,475046,506621
ens38,82542740,121764011,475046,506621
ens38,82542740,121764011,475046,506621
ens38,82542740,121764011,475046,506621
ens38,82543652,121764353,475053,506626
ens38,82544762,121766146,475057,506630
ens38,82545672,121766488,475064,506635
ens38,82546782,121768276,475068,506639
ens38,82546782,121768276,475068,506639
ens38,82546782,121768276,475068,506639
ens38,82546782,121768276,475068,506639
ens38,82546782,121768276,475068,506639
ens38,82547990,121769172,475072,506643
ens38,82547990,121769172,475072,506643
ens38,82547990,121769172,475072,506643
ens38,82548050,121776552,475073,506647
ens38,82548050,121776552,475073,506647
ens38,82548050,121776552,475073,506647
ens38,82548050,121776552,475073,506647
ens38,82548050,121776552,475073,506647
ens38,82548050,121776552,475073,506647
ens38,82548050,121776552,475073,506647
ens38,82548230,121776750,475076,506650
ens38,82548230,121776750,475076,506650
ens38,82548230,121776750,475076,506650
ens38,82548230,121776750,475076,506650
ens38,82548230,121776750,475076,506650
ens38,82548230,121776750,475076,506650
ens38,82548230,121776750,475076,506650
ens38,82548230,121776750,475076,506650
ens38,82548230,121776750,475076,506650
ens38,82548230,121776750,475076,506650
ens38,82548410,121776948,475079,506653
ens38,82548410,121776948,475079,506653
ens38,82548410,121776948,475079,506653
ens38,82549320,121777290,475086,506658
ens38,82550430,121779079,475090,506662
ens38,82552548,121780316,475101,506671
ens38,82553658,121782103,475105,506675
ens38,82553658,121782103,475105,506675
ens38,82553658,121782103,475105,506675
ens38,82553658,121782103,475105,506675
ens38,82553658,121782103,475105,506675
ens38,82553658,121782103,475105,506675
ens38,82553658,121782103,475105,506675
ens38,82553658,121782103,475105,506675
ens38,82553658,121782103,475105,506675
ens38,82553658,121782103,475105,506675
ens38,82553838,121782301,475108,506678
ens38,82553838,121782301,475108,506678
ens38,82553838,121782301,475108,506678
ens38,82553838,121782301,475108,506678
ens38,82553838,121782301,475108,506678
ens38,82553838,121782301,475108,506678
ens38,82553838,121782301,475108,506678
ens38,82553838,121782301,475108,506678
ens38,82553838,121782301,475108,506678
ens38,82553838,121782301,475108,506678
ens38,82554018,121782499,475111,506681
ens38,82554018,121782499,475111,506681
ens38,82554018,121782499,475111,506681
ens38,82554018,121782499,475111,506681
ens38,82555226,121783395,475115,506685
ens38,82555226,121783395,475115,506685
ens38,82555226,121783395,475115,506685
ens38,82556136,121783737,475122,506690
ens38,82557246,121785525,475126,506694
ens38,82558157,121785867,475133,506699
ens38,82559267,121787657,475137,506703
ens38,82559267,121787657,475137,506703
ens38,82559267,121787657,475137,506703
ens38,82559267,121787657,475137,506703
ens38,82559267,121787657,475137,506703
ens38,82559267,121787657,475137,506703
ens38,82559267,121787657,475137,506703
ens38,82559267,121787657,475137,506703
ens38,82559539,121788178,475138,506705
ens38,82559539,121788178,475138,506705
ens38,82559719,121788376,475141,506708
ens38,82559719,121788376,475141,506708
ens38,82559719,121788376,475141,506708
ens38,82559719,121788376,475141,506708
ens38,82559719,121788376,475141,506708
ens38,82559719,121788376,475141,506708
ens38,82559719,121788376,475141,506708
ens38,82559719,121788376,475141,506708
ens38,82559719,121788376,475141,506708
ens38,82560927,121789272,475145,506712
ens38,82560927,121789272,475145,506712
ens38,82560927,121789272,475145,506712
ens38,82560927,121789272,475145,506712
ens38,82560927,121789272,475145,506712
ens38,82560927,121789272,475145,506712
ens38,82560927,121789272,475145,506712
ens38,82560927,121789272,475145,506712
ens38,82560927,121789272,475145,506712
ens38,82561836,121789614,475152,506717
ens38,82562946,121791400,475156,506721
ens38,82563855,121791742,475163,506726
ens38,82564965,121793528,475167,506730
ens38,82564965,121793528,475167,506730
ens38,82564965,121793528,475167,506730
ens38,82564965,121793528,475167,506730
ens38,82564965,121793528,475167,506730
ens38,82564965,121793528,475167,506730
ens38,82564965,121793528,475167,506730
ens38,82564965,121793528,475167,506730
ens38,82564965,121793528,475167,506730
ens38,82564965,121793528,475167,506730
ens38,82565145,121793726,475170,506733
ens38,82565145,121793726,475170,506733
ens38,82565145,121793726,475170,506733
ens38,82566353,121794622,475174,506737
ens38,82566353,121794622,475174,506737
ens38,82566353,121794622,475174,506737
ens38,82566353,121794622,475174,506737
ens38,82566353,121794622,475174,506737
ens38,82566353,121794622,475174,506737
ens38,82566353,121794622,475174,506737
ens38,82566353,121794622,475174,506737
ens38,82566413,121800524,475175,506740
ens38,82566413,121800524,475175,506740
ens38,82566593,121800722,475178,506743
ens38,82566593,121800722,475178,506743
ens38,82566593,121800722,475178,506743
ens38,82566593,121800722,475178,506743
ens38,82567503,121801064,475185,506748
ens38,82568553,121802853,475188,506752
ens38,82569523,121803195,475196,506757
ens38,82570633,121804983,475200,506761
ens38,82570633,121804983,475200,506761
ens38,82570633,121804983,475200,506761
ens38,82570633,121804983,475200,506761
ens38,82570633,121804983,475200,506761
ens38,82570633,121804983,475200,506761
ens38,82570633,121804983,475200,506761
ens38,82570633,121804983,475200,506761
ens38,82571841,121805878,475204,506765
ens38,82571841,121805878,475204,506765
ens38,82571841,121805878,475204,506765
ens38,82571841,121805878,475204,506765
ens38,82571841,121805878,475204,506765
ens38,82571841,121805878,475204,506765
ens38,82571841,121805878,475204,506765
ens38,82571841,121805878,475204,506765
ens38,82571841,121805878,475204,506765
ens38,82571841,121805878,475204,506765
ens38,82572021,121806076,475207,506768
ens38,82572021,121806076,475207,506768
ens38,82572021,121806076,475207,506768
ens38,82572021,121806076,475207,506768
ens38,82572021,121806076,475207,506768
ens38,82572021,121806076,475207,506768
ens38,82572021,121806076,475207,506768
ens38,82572021,121806076,475207,506768
ens38,82572021,121806076,475207,506768
ens38,82572021,121806076,475207,506768
ens38,82573110,121806616,475217,506776
