cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
3,1,1751,3170,4,1,36,5,0,2,0,1,2022-04-30,23:30:44
6,3,2837,5536,8,2,388,15,0,1,0,1,2022-04-30,23:30:45
3,1,1825,3222,0,0,0,0,0,3,0,3,2022-04-30,23:30:46
3,2,2360,4521,8,2,0,0,0,2,0,1,2022-04-30,23:30:47
4,1,2164,3903,8,2,2004,68,0,1,0,1,2022-04-30,23:30:48
22,12,3399,8402,20,5,7088,1354,0,1,0,1,2022-04-30,23:30:49
5,1,2352,4556,8,2,524,21,0,2,0,1,2022-04-30,23:30:50
5,3,2552,4642,28,7,2016,72,1,4,1,5,2022-04-30,23:30:51
4,2,1958,3487,212,9,1668,61,0,1,0,1,2022-04-30,23:30:52
4,2,2080,4017,16,3,0,0,1,9,1,6,2022-04-30,23:30:53
8,4,2680,5740,124,19,408,36,2,10,2,10,2022-04-30,23:30:54
6,4,2774,5412,92,5,184,9,0,1,0,1,2022-04-30,23:30:55
3,1,1793,3383,0,0,0,0,0,2,0,1,2022-04-30,23:30:56
3,2,2525,4651,32,8,2784,98,0,1,0,1,2022-04-30,23:30:57
3,1,2084,3753,4,1,0,0,0,1,0,1,2022-04-30,23:30:58
5,3,2581,4713,160,20,2320,84,0,2,0,1,2022-04-30,23:30:59
4,1,1752,3126,4,1,416,10,0,1,0,1,2022-04-30,23:31:00
3,1,2050,3704,0,0,44,8,0,2,0,2,2022-04-30,23:31:01
3,1,1779,3229,4,1,0,0,0,2,0,1,2022-04-30,23:31:02
3,1,2020,3643,0,0,0,0,0,1,0,1,2022-04-30,23:31:03
3,1,1795,3279,8,2,0,0,0,2,0,2,2022-04-30,23:31:04
5,2,2915,5567,16,4,1852,83,0,2,0,1,2022-04-30,23:31:05
4,1,1729,3088,4,1,536,99,0,1,0,1,2022-04-30,23:31:06
5,2,2440,4665,52,13,2412,77,0,1,0,1,2022-04-30,23:31:07
4,2,1979,3706,12,3,0,0,0,2,0,1,2022-04-30,23:31:08
4,2,2153,4109,4,1,28,5,0,1,0,1,2022-04-30,23:31:09
7,3,2693,4905,1172,293,496,18,0,1,0,1,2022-04-30,23:31:10
5,2,2167,3972,8,2,48,3,0,3,0,2,2022-04-30,23:31:11
