cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
4,2,2679,5058,116,18,232,10,0,5,0,1,2022-04-30,01:14:00
4,2,2127,3714,56,7,1448,55,0,2,0,1,2022-04-30,01:14:01
3,1,2342,4080,120,24,0,0,0,2,0,1,2022-04-30,01:14:02
6,3,2867,4754,1540,222,1676,62,0,2,0,1,2022-04-30,01:14:03
6,4,3029,5640,4,1,132,6,0,1,0,2,2022-04-30,01:14:04
3,2,2014,3757,8,2,88,3,0,1,0,1,2022-04-30,01:14:05
3,1,2117,3841,20,5,0,0,0,2,0,1,2022-04-30,01:14:06
5,3,2166,3731,96,23,0,0,0,1,0,1,2022-04-30,01:14:07
3,2,2331,4169,16,4,784,41,0,1,0,1,2022-04-30,01:14:08
3,1,1909,3324,8,2,0,0,0,4,0,4,2022-04-30,01:14:09
5,2,2671,5030,28,7,404,22,0,1,0,1,2022-04-30,01:14:10
3,1,2094,3710,52,13,1904,57,0,1,0,1,2022-04-30,01:14:11
5,3,2959,4933,1264,286,0,0,0,2,0,1,2022-04-30,01:14:12
3,1,2426,4336,36,8,0,0,0,1,0,1,2022-04-30,01:14:13
5,2,2809,5475,12,3,140,6,1,4,1,5,2022-04-30,01:14:14
3,1,2089,3788,4,1,88,3,0,2,0,1,2022-04-30,01:14:15
3,1,2117,3740,0,0,0,0,0,1,0,1,2022-04-30,01:14:16
3,2,1992,3526,24,6,44,8,0,1,0,1,2022-04-30,01:14:17
4,2,2216,4101,116,19,0,0,0,2,0,1,2022-04-30,01:14:18
3,1,1888,3352,0,0,0,0,0,2,0,1,2022-04-30,01:14:19
5,2,2612,4886,76,11,571,26,0,4,0,1,2022-04-30,01:14:20
7,2,2001,3558,12,3,0,0,0,3,0,1,2022-04-30,01:14:21
5,3,2705,4939,16,4,776,92,0,2,0,1,2022-04-30,01:14:22
4,2,2361,4117,84,21,0,0,0,1,0,1,2022-04-30,01:14:23
6,3,2960,5527,32,7,256,7,0,4,0,3,2022-04-30,01:14:24
2,1,2146,3777,16,4,80,3,0,1,0,1,2022-04-30,01:14:25
3,1,2063,3675,0,0,0,0,0,1,0,1,2022-04-30,01:14:26
2,1,2001,3531,16,4,20,4,0,2,0,1,2022-04-30,01:14:27
4,2,2319,4250,80,19,0,0,0,1,0,1,2022-04-30,01:14:28
