ID, Temperatura, Umidade, Tempo, Data,Unix_time, Discrepancia ,  
43,7,59,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650933104134872300,1650969105045711,-1.6492821350298266e+18
44,7,59,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650933104134872300,1650969105045711,-1.6492821350298266e+18
45,35,59,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650933104134872300,1650969107047276,-1.6492821350278252e+18
46,35,34,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650933104134872300,1650969107047276,-1.6492821350278252e+18
47,35,34,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650933105561965800,1650969107047276,-1.6492821364549187e+18
48,35,34,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650933105561965800,1650969107047276,-1.6492821364549187e+18
49,9,34,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650933105561965800,1650969226046255,-1.6492821363359196e+18
50,9,6,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650933105561965800,1650969226046255,-1.6492821363359196e+18
51,9,6,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650933224690730500,1650969226046255,-1.6492822554646843e+18
52,9,6,"1479626045,3789,4860,2122255,2849593,3400,2649,1261823,2515795,3356,2649,1249037,2510003,2652,3390,1493344,1972131,3980,4938,2333628,2717023,4892,3985,1717678,3963740,3462,2769,1298559,2652490,2766,3468,1579642,2045810,4928,3879,1833821,3658314,5002,6413,2754331,3749209,2719,3464,1521516,2071803,3463,2740,1311750,2596759",,1650933224690730500,1650969226046255,-1.6492822554646843e+18
