ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
145,0,1,1,0,2022-04-26-3:24:4,1650968644000004
146,1,3,3,0,2022-04-26-3:24:5,1650968645000005
147,1,4,4,1,2022-04-26-3:24:6,1650968646000006
148,0,3,2,0,2022-04-26-3:24:7,1650968647000007
149,0,2,3,0,2022-04-26-3:24:8,1650968648000008
150,0,1,1,0,2022-04-26-3:24:9,1650968649000009
151,0,2,1,0,2022-04-26-3:24:10,165096865000001
152,0,1,2,0,2022-04-26-3:24:11,1650968651000011
153,0,1,1,0,2022-04-26-3:24:12,1650968652000012
154,0,2,1,0,2022-04-26-3:24:13,1650968653000013
155,0,1,2,0,2022-04-26-3:24:14,1650968654000014
156,0,1,1,0,2022-04-26-3:24:15,1650968655000015
157,0,5,4,0,2022-04-26-3:24:16,1650968656000016
158,0,2,2,0,2022-04-26-3:24:17,1650968657000017
159,0,2,1,0,2022-04-26-3:24:18,1650968658000018
160,0,3,1,0,2022-04-26-3:24:19,1650968659000019
161,0,2,1,0,2022-04-26-3:24:20,165096866000002
162,0,3,1,0,2022-04-26-3:24:21,1650968661000021
163,0,2,1,0,2022-04-26-3:24:22,1650968662000022
164,0,1,1,0,2022-04-26-3:24:23,1650968663000023
165,0,1,1,0,2022-04-26-3:24:24,1650968664000024
166,0,1,1,0,2022-04-26-3:24:25,1650968665000025
167,0,4,4,0,2022-04-26-3:24:26,1650968666000026
168,0,2,2,0,2022-04-26-3:24:27,1650968667000027
169,0,1,1,0,2022-04-26-3:24:28,1650968668000028
170,0,2,1,0,2022-04-26-3:24:29,1650968669000029
171,0,4,1,0,2022-04-26-3:24:30,165096867000003
172,2,9,5,1,2022-04-26-3:24:31,1650968671000031
173,0,4,1,0,2022-04-26-3:24:32,1650968672000032
174,0,5,1,0,2022-04-26-3:24:33,1650968673000033
175,0,4,1,0,2022-04-26-3:24:34,1650968674000034
176,0,1,1,0,2022-04-26-3:24:35,1650968675000035
177,0,2,2,0,2022-04-26-3:24:36,1650968676000036
178,0,1,1,0,2022-04-26-3:24:37,1650968677000037
179,0,2,2,0,2022-04-26-3:24:38,1650968678000038
180,0,2,1,0,2022-04-26-3:24:39,1650968679000039
181,0,4,1,0,2022-04-26-3:24:40,165096868000004
182,0,5,4,0,2022-04-26-3:24:41,1650968681000041
183,0,1,1,0,2022-04-26-3:24:42,1650968682000042
184,0,2,1,0,2022-04-26-3:24:43,1650968683000043
185,0,1,1,0,2022-04-26-3:24:44,1650968684000044
186,0,1,1,0,2022-04-26-3:24:45,1650968685000045
187,0,3,2,0,2022-04-26-3:24:46,1650968686000046
188,0,1,2,0,2022-04-26-3:24:47,1650968687000047
189,0,1,1,0,2022-04-26-3:24:48,1650968688000048
190,0,2,1,0,2022-04-26-3:24:49,1650968689000049
191,0,1,1,0,2022-04-26-3:24:50,165096869000005
192,0,4,4,0,2022-04-26-3:24:51,1650968691000051
193,0,2,2,0,2022-04-26-3:24:52,1650968692000052
194,0,1,1,0,2022-04-26-3:24:53,1650968693000053
195,0,1,1,0,2022-04-26-3:24:54,1650968694000054
196,0,1,2,0,2022-04-26-3:24:55,1650968695000055
197,1,6,6,1,2022-04-26-3:24:56,1650968696000056
198,0,1,1,0,2022-04-26-3:24:57,1650968697000057
199,0,3,1,0,2022-04-26-3:24:58,1650968698000058
200,0,2,1,0,2022-04-26-3:24:59,1650968699000059
201,0,3,1,0,2022-04-26-3:25:0,16509687000
202,0,4,2,0,2022-04-26-3:25:1,1650968701000001
203,0,1,1,0,2022-04-26-3:25:2,1650968702000002
204,0,1,1,0,2022-04-26-3:25:3,1650968703000003
205,0,1,1,0,2022-04-26-3:25:4,1650968704000004
206,0,1,1,0,2022-04-26-3:25:5,1650968705000005
207,0,4,4,0,2022-04-26-3:25:6,1650968706000006
208,0,2,1,0,2022-04-26-3:25:7,1650968707000007
209,0,2,2,0,2022-04-26-3:25:8,1650968708000008
210,0,1,1,0,2022-04-26-3:25:9,1650968709000009
211,0,2,1,0,2022-04-26-3:25:10,165096871000001
212,0,2,2,0,2022-04-26-3:25:11,1650968711000011
213,0,1,1,0,2022-04-26-3:25:12,1650968712000012
